WOODS
Cypher 2.0 40,TT0211,3D3S,Graphite,R(5.5),48,5.3,low,med/soft,high,$225.00,102
GD Tour AD F (Fwy) Series 60,GD0053,3D3S,Graphite,R1,60,5.0,low,soft,high,$249.00,Web
GD Anti Gravity aG33-3,GD0065,3D3S,Graphite,R,39.5,7.5,low,sift,high,$379.00,Web
KBS Max HL 40,FS0086,3D3S,Graphite,R,42,5.6,low,soft,high,$99.95,111
KBS Max HL 50,FS0091,3D3S,Graphite,R,50,5.4,low,soft,high,$99.95,Web
M890,MA0311,3D3S,Graphite,R,65,5.0,low,soft,high,$24.99 ,72
Misubishi C6 Red 50,MR0098,3D3S,Graphite,R,58,6.0,low/mid,soft,high,$150.00,93
Misubishi C6 Red 60,MR0098,3D3S,Graphite,R,63,5.0,low/mid,soft,high,$150.00,93
UST Attas Speed 40,US0138,3D3S,Graphite,R,48,5.0,low,soft,high,$385.00,81
Vista Pro 45,FK0102,3D3S,Graphite,R,50,5.1,low,med/soft,high,$95.00,99
GD Tour AD DI 60 Org,GD0023,3.5B1M,Graphite,SR,64,3.4,mid,firm,high,$379.00,101
GD Tour AD DI 60 Blk,GD0023,3.5B1M,Graphite,SR,64,3.4,mid,firm,high,$379.00,101
GD Tour AD GC 60,GD0066,3.5B1M,Graphite,SR,61.5,3.1,mid,firm,mid,$379.00,Web
GD Tour AD UB 60,GD0061,3.5B1M,Graphite,SR,63,3.2,mid,firm,mid,$379.00,Web
GD Tour AD VF 60 ,GD0063,3.5B1M,Graphite,SR,64,3.3,mid/high,stiff,low/mid,$379.00,Web
GD Tour AD VR 60,GD0056,3.5B1M,Graphite,SR,63,3.2,mid,firm,mid/high,$379.00,Web
GD Tour AD XC 60,GD0059,3.5B1M,Graphite,SR,62,3.2,mid/high,stiff,low/mid,$379.99,Web
GD Tour AD CQ 60,GD0062,3.5B2M,Graphite,SR,62,3.4,low/mid,medium,mid/high,$379.00,Web
GD Tour AD IZ 60,GD0052,3.5B2M,Graphite,SR,62,3.2,mid,med/firm,high,$379.00,Web
HZRDUS Orange Gen 4 Junior,TT0205,3.5B2S,Graphite,S(6.0) J,52,5.6,mid,medium,mid,$50.00,103
GD Tour AD F (Fwy) Series 68,GD0053,3.5B3M,Graphite,SR,68,3.3,low,soft,high,$249.00,Web
GD Anti Gravity aG33-3,GD0065,3.5D3S,Graphite,SR,40.5,7.5,low,sift,high,$379.00,Web
Diamana GT Series 70,MR0102,4B1H,Graphite,S,72,2.9,mid/high,stiff,low/mid,$360.00,Web
GD Tour AD GC 70,GD0066,4B1H,Graphite,S,71,2.8,mid,firm,mid,$379.00,Web
GD Tour AD HD 70,GD0060,4B1H,Graphite,S,74,2.9,mid,firm,mid,$379.00,Web
Ventus TR Blue 70,FK0112,4B1H,Graphite,S,77.5,2.9,mid,stiff,mid,$350.00,96
Accra TZ5 Series 55,AC0001,4B1M,Graphite,M4-S,60,4.1,high,firm,low,$200.00,78
Accra TZ5 Series 65,AC0001,4B1M,Graphite,M4-S,70,3.6,high,firm,low,$200.00,78
Aldila NV 55,AL0088,4B1M,Graphite,S,59,4.5,mid/high,med/firm,low/mid,$80.00,87
Aldila NV 65,AL0088,4B1M,Graphite,S,67,3.6,mid/high,med/firm,low/mid,$80.00,87
Aldila NV 75,AL0088,4B1M,Graphite,S,79,3.1,mid/high,med/firm,low/mid,$80.00,87
Denali Black 60,TT0210,4B1M,Graphite,S(6.0),65,3.9,high,stiff,low,$225.00,102
Denali Black 70,TT0210,4B1M,Graphite,S(6.0),75,3.6,high,stiff,low,$225.00,102
Diamana GT Series 50,MR0102,4B1M,Graphite,S,59,4.6,mid/high,firm,low/mid,$360.00,Web
Diamana GT Series 60,MR0102,4B1M,Graphite,S,62,3.8,mid/high,stiff,low/mid,$360.00,Web
Diamana S-Series LE 63,MR0115,4B1M,Graphite,S,63,3.6,mid/high,med/firm,mid,$350.00,Web
Diamana TB Series 60,MR0093,4B1M,Graphite,S,64,3.7,mid/high,med/firm,mid,$360.00,Web
Diamana TB Series 70,MR0093,4B1M,Graphite,S,74,3.4,mid/high,firm,mid,$360.00,Web
Diamana WB Series 53,MR0114,4B1M,Graphite,S,54,4.6,high,med/firm,low,$360.00,92
