IRONS
KBS $-Taper .355 Black PVD,FS0049,4B1H,Steel,S,120,2.5,mid/high,med/stiff,mid,$64.95,Web
KBS $-Taper .355 Chrome,FS0050,4B1H,Steel,S,120,2.5,mid/high,med/stiff,mid,$64.95,113
KBS Tour .355,FS0018,4B1H,Steel,S,120,2.5,mid/high,med/stiff,mid,$34.95,114
KBS Tour Cust Blk .355,FS0028,4B1H,Steel,S,120,2.5,mid/high,med/stiff,mid,$59.95,Web
KBS Tour V .355,FS0036,4B1H,Steel,S,110,2.5,mid,stiff,mid,$47.95,113
N.S. Pro Modus³ Tour 115,NP0028,4B1H,Steel,S,118.5,1.7,high,med/firm,mid,$38.00,117
N.S. Pro Modus³ Tour 120,NP0020 / NP0001,4B1H,Steel,S,114,1.8,mid/high,stiff,low/mid,$38.00,117
N.S. Pro Modus³ Tour 125,NP0015,4B1H,Steel,S,128.5,1.7,high,med/firm,mid,$38.00,117
Project X LZ .355,TT0117,4B1H,Steel,6.0 S,115,1.9,mid,stiff,mid,$51.99,105
Project X LZ Blackout,TT0147,4B1H,Steel,6.0 S,120,1.9,mid,stiff,mid,$64.99,105
SteelFiber 95cw .355,AT0015IE,4B1H,Graphite,S,95,2.4,mid/high,med/firm,low/mid,$60.00,76
SteelFiber 95 .370,AT0003,4B1H,Graphite,S,95,2.4,mid/high,med/firm,low/mid,$55.00,76
SteelFiber 110cw .355,AT0017IE,4B1H,Graphite,S,110,1.9,mid/high,med/firm,low/mid,$60.00,76
SteelFiber 110 .370,AT0016,4B1H,Graphite,S,110,1.9,mid/high,med/firm,low/mid,$55.00,76
KBS PGI Graphite 80 .370,FS0078,4B1M,Graphite,S,80,3.5,mid/high,med/firm,mid/high,$69.95,112
KBS PGI Graphite 80 .355,FS0083,4B1M,Graphite,S,80,3.5,mid/high,med/firm,mid/high,$89.95,112
Dynamic Gold 95 .355,TT0195,4B2H,Steel,S300,97,1.9,mid,med/soft,high,$36.99,107
Dynamic Gold 95 .370,TT0196,4B2H,Steel,S300,100,1.9,mid,med/soft,high,$36.99,107
Dynamic Gold 100 Mid .355,TT0197,4B2H,Steel,S300,106,1.9,mid,medium,mid/high,$36.99,107
Dynamic Gold 115 Mid .355,TT0198,4B2H,Steel,S300,115,1.9,mid,med/firm,mid,$36.99,107
FST 115,FS0012,4B2H,Steel,S,115,3.0,mid,medium,mid,$11.95,120
FST Pro 115 Stepless,FS0087,4B2H,Steel,S,115,3.0,mid,medium,mid,$13.95,120
